year,annual_real_gdp_growth_pct,unit,frequency,source,source_url,fetched_at
2008,3.276408308619679,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2009,-4.095858699654258,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2010,-0.6620080132279327,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2011,2.7289428836952254,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2012,4.2433000303055906,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2013,0.07771331367443679,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2014,-2.3058071825233384,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2015,-3.868720967947553,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2016,-16.97801742690727,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2017,-14.420107217382423,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2018,-21.39586857963141,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2019,-28.991458295234224,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2020,-33.20381272402878,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2021,1.1110162502640435,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2022,14.917680227650166,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2023,5.143618581513593,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2024,9.025539143402,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
2025,8.944487326024571,Variación porcentual anual a precios de 2007,annual,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/5_2_1_si_anual.xlsx,2026-08-04T21:47:54Z
