tema_ove,subarea_ove,indicadores_o_recursos
Agricultura y medio ambiente,Agricultura,35
Agricultura y medio ambiente,Agua,85
Agricultura y medio ambiente,Residuos y protección ambiental,8
Agricultura y medio ambiente,Cuentas ambientales,7
Agricultura y medio ambiente,Otras operaciones medioambientales,122
Ciencia y tecnología,Investigación y desarrollo,12
Ciencia y tecnología,Innovación empresarial,33
Ciencia y tecnología,Conectividad y capacidades digitales,50
Demografía y población,Población,690
Demografía y población,Natalidad y mortalidad,67
Demografía y población,Migración y movilidad,11
Economía,Actividad económica,97
Economía,Precios e inflación,65
Economía,Sector externo y finanzas,366
"Industria, energía y construcción",Industria manufacturera,15
"Industria, energía y construcción",Energía e hidrocarburos,163
"Industria, energía y construcción",Construcción e infraestructura,11
Mercado laboral,Empleo y desempleo,462
Mercado laboral,Ingresos laborales,200
Mercado laboral,Informalidad y movilidad laboral,158
Servicios,Comercio y consumo,28
Servicios,"Turismo, transporte y logística",22
Servicios,Servicios digitales y profesionales,49
Nivel y condiciones de vida (IPC),Condiciones de vida,315
Nivel y condiciones de vida (IPC),Costo de vida e IPC,273
Nivel y condiciones de vida (IPC),"Salud, educación y vivienda",59
Sociedad,Seguridad y convivencia,7
Sociedad,"Género, juventud y grupos vulnerables",32
Sociedad,Participación y comunidad,341
Estadísticas experimentales,Indicadores de alta frecuencia,2
Estadísticas experimentales,Datos geoespaciales,0
Estadísticas experimentales,Modelos y nowcasting,0
